baseline_policy,benchmark,effective_l3_misses,final_job_id,l3_miss_ratio_vs_lru,l3_miss_reduction_vs_lru_pct,l3_misses,l3_size,pipeline_run_name,policy_label,policy_short,popt_charged_l3_misses_plus_matrix_stream,popt_overhead_charged,prefetcher,section,sim_ticks,simulator,threads,timing_caveat,timing_model,timing_valid_for_speedup
LRU,sssp,1.0,10_cache_sim_large_replacement_soc-pokec_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_soc-pokec_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_soc-pokec_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,177952314.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,1.0,0.0,177952314,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,169634528.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,0.9532583431311829,4.674165686881712,169634528,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,179295867.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,1.0075500732179297,-0.7550073217929607,179295867,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,179843575.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,1.010627909002633,-1.0627909002633142,179843575,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,174470851.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,0.9804359779215909,1.9564022078409162,174470851,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,178034792.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,1.000463483717329,-0.04634837173289019,178034792,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,179298177.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,1.0075630542236163,-0.7563054223616333,179298177,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,176754296.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,0.993267758237749,0.6732241762250982,176754296,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,174194124.0,10_cache_sim_large_replacement_soc-LiveJournal1_pr,0.9788809152546339,2.111908474536611,174194124,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6966869.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0,0.0,6966869,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6885041.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,0.9882546951866039,1.174530481339609,6885041,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7481867.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0739210110022164,-7.392101100221635,7481867,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7528020.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.080545651138266,-8.054565113826598,7528020,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
