graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
com-orkut,sssp,1MB,POPT,0.653656,-3.3087,,no_claim,
com-orkut,sssp,1MB,SRRIP,0.653862,-3.2881,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,4MB,GRASP,0.146198,-2.6838,,no_claim,
com-orkut,sssp,4MB,LRU,0.173036,+0.0000,,no_claim,
com-orkut,sssp,4MB,POPT,0.187253,+1.4217,,no_claim,
com-orkut,sssp,4MB,SRRIP,0.152881,-2.0155,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,8MB,GRASP,0.016905,+0.0720,,no_claim,
com-orkut,sssp,8MB,LRU,0.016185,+0.0000,,no_claim,
com-orkut,sssp,8MB,POPT,0.029386,+1.3201,,no_claim,
com-orkut,sssp,8MB,SRRIP,0.015217,-0.0968,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
delaunay_n19,pr,16kB,GRASP,0.999740,-0.0260,,no_claim,
delaunay_n19,pr,16kB,LRU,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,16kB,POPT,0.997714,-0.2286,,no_claim,
delaunay_n19,pr,16kB,SRRIP,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,1MB,GRASP,0.851601,-11.5163,,no_claim,
delaunay_n19,pr,1MB,LRU,0.966764,+0.0000,,no_claim,
delaunay_n19,pr,1MB,POPT,0.810400,-15.6364,,no_claim,
delaunay_n19,pr,1MB,SRRIP,0.951847,-1.4917,,no_claim,
delaunay_n19,pr,256kB,GRASP,0.982951,-1.6226,,no_claim,
delaunay_n19,pr,256kB,LRU,0.999177,+0.0000,,no_claim,
delaunay_n19,pr,256kB,POPT,0.935871,-6.3306,,no_claim,
delaunay_n19,pr,256kB,SRRIP,0.999095,-0.0082,,no_claim,
delaunay_n19,pr,4kB,GRASP,0.999998,-0.0002,,no_claim,
delaunay_n19,pr,4kB,LRU,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,4kB,POPT,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,4kB,SRRIP,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,64kB,GRASP,0.997298,-0.2702,,no_claim,
delaunay_n19,pr,64kB,LRU,1.000000,+0.0000,,no_claim,
delaunay_n19,pr,64kB,POPT,0.977793,-2.2207,,no_claim,
delaunay_n19,pr,64kB,SRRIP,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,1MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,1MB,LRU,1.000000,+0.0000,,no_claim,
