kind,name,extra
canonical,cache_sim,cache_sim
canonical,cache-sim,cache_sim
canonical,gem5,gem5
canonical,gem5-riscv,gem5
canonical,gem5-x86,gem5
canonical,sniper,sniper
canonical,sniper-sift,sniper
literal,cache-sim,
literal,cache_sim,
literal,gem5,
literal,gem5-riscv,
literal,gem5-x86,
literal,sniper,
literal,sniper-sift,
