citation,graph,app,l3_size,policy,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,delta_pct,status
Balaji & Lucia HPCA 2021 §6.3,roadNet-CA,pr,64kB,POPT_GE_GRASP,-,,,1.0,-1.2942,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,pr,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2942,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,sssp,16kB,POPT_GE_GRASP,-,,,1.5,-0.9229,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,sssp,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.9229,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,sssp,1MB,POPT_GE_GRASP,-,,,1.5,-60.0226,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,60.0226,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,sssp,256kB,POPT_GE_GRASP,-,,,1.5,-38.317,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,sssp,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,38.317,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,sssp,4kB,POPT_GE_GRASP,-,,,1.5,-0.0261,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,sssp,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0261,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,sssp,64kB,POPT_GE_GRASP,-,,,1.5,-9.6476,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,sssp,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,9.6476,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bc,1MB,SRRIP,~,,5.0,3.0,-2.205,ok
Faldu et al. HPCA 2020 Fig 11,soc-LiveJournal1,bc,1MB,GRASP,-,1.0,20.0,3.0,-4.4736,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bc,1MB,POPT_GE_GRASP,-,,,1.5,1.4819,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.4819,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bc,4MB,SRRIP,~,,5.0,3.0,-2.5167,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bc,4MB,POPT_GE_GRASP,-,,,1.5,1.4449,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.4449,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bc,8MB,SRRIP,~,,5.0,3.0,-2.5468,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bc,8MB,POPT_GE_GRASP,-,,,1.5,1.6476,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.6476,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bfs,1MB,SRRIP,~,,5.0,3.0,-3.5185,ok
Faldu et al. HPCA 2020 Fig 11,soc-LiveJournal1,bfs,1MB,GRASP,-,0.5,15.0,3.0,-7.6307,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bfs,1MB,POPT_GE_GRASP,-,,,1.5,1.0899,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.0899,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bfs,4MB,SRRIP,~,,5.0,3.0,-2.4639,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bfs,4MB,POPT_GE_GRASP,-,,,1.5,1.2405,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2405,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-LiveJournal1,bfs,8MB,SRRIP,~,,5.0,3.0,-1.4977,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,bfs,8MB,POPT_GE_GRASP,-,,,1.5,1.2003,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2003,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-LiveJournal1,cc,1MB,SRRIP,~,,10.0,3.0,-1.1014,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,cc,1MB,POPT_GE_GRASP,-,,,1.5,1.3976,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.3976,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-LiveJournal1,cc,4MB,SRRIP,~,,10.0,3.0,-1.1302,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,cc,4MB,POPT_GE_GRASP,-,,,1.5,1.8098,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.8098,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-LiveJournal1,cc,8MB,SRRIP,~,,10.0,3.0,-2.1521,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,cc,8MB,POPT_GE_GRASP,-,,,1.5,3.0832,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.0832,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-LiveJournal1,pr,1MB,SRRIP,~,,5.0,2.0,-3.3254,ok
Faldu et al. HPCA 2020 Fig 10,soc-LiveJournal1,pr,1MB,GRASP,-,3.0,25.0,2.0,-4.8005,ok
Balaji & Lucia HPCA 2021 Fig 9,soc-LiveJournal1,pr,1MB,POPT,-,4.0,30.0,2.0,-10.9296,ok
Balaji & Lucia HPCA 2021 §6.3,soc-LiveJournal1,pr,1MB,POPT_GE_GRASP,-,,,1.0,-6.1291,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,6.1291,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-LiveJournal1,pr,4MB,SRRIP,~,,5.0,2.0,-3.6322,ok
Balaji & Lucia HPCA 2021 §6.3,soc-LiveJournal1,pr,4MB,POPT_GE_GRASP,-,,,1.0,-6.1949,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,6.1949,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-LiveJournal1,pr,8MB,SRRIP,~,,5.0,2.0,-3.5828,ok
Faldu et al. HPCA 2020 Fig 10,soc-LiveJournal1,pr,8MB,GRASP,-,1.0,12.0,2.0,-7.4499,ok
Balaji & Lucia HPCA 2021 §6.3,soc-LiveJournal1,pr,8MB,POPT_GE_GRASP,-,,,1.0,-2.2911,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.2911,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,1MB,SRRIP,~,,5.0,3.0,-2.5954,ok
Balaji & Lucia HPCA 2021 Fig 10,soc-LiveJournal1,sssp,1MB,POPT,-,2.0,25.0,2.0,-4.7583,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,1MB,POPT_GE_GRASP,-,,,1.5,-0.0215,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0215,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,4MB,SRRIP,~,,5.0,3.0,-2.3433,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,4MB,POPT_GE_GRASP,-,,,1.5,1.2199,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2199,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,8MB,SRRIP,~,,5.0,3.0,-2.0447,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-LiveJournal1,sssp,8MB,POPT_GE_GRASP,-,,,1.5,0.7472,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-LiveJournal1,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.7472,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bc,1MB,SRRIP,~,,5.0,3.0,-2.2757,ok
Faldu et al. HPCA 2020 Fig 11,soc-pokec,bc,1MB,GRASP,-,0.5,15.0,3.0,-8.662,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bc,1MB,POPT_GE_GRASP,-,,,1.5,3.0012,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.0012,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bc,4MB,SRRIP,~,,5.0,3.0,-3.3239,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bc,4MB,POPT_GE_GRASP,-,,,1.5,1.6144,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.6144,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bc,8MB,SRRIP,~,,5.0,3.0,-2.4864,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bc,8MB,POPT_GE_GRASP,-,,,1.5,0.0773,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0773,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bfs,1MB,SRRIP,~,,5.0,3.0,-0.9724,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bfs,1MB,POPT_GE_GRASP,-,,,1.5,1.2618,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2618,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bfs,4MB,SRRIP,~,,5.0,3.0,-0.1375,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bfs,4MB,POPT_GE_GRASP,-,,,1.5,-0.2832,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2832,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),soc-pokec,bfs,8MB,SRRIP,~,,5.0,3.0,-0.0973,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,bfs,8MB,POPT_GE_GRASP,-,,,1.5,-1.1018,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.1018,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-pokec,cc,1MB,SRRIP,~,,10.0,3.0,-3.2629,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,cc,1MB,POPT_GE_GRASP,-,,,1.5,10.5803,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,10.5803,known_deviation
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-pokec,cc,4MB,SRRIP,~,,10.0,3.0,-6.6143,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,cc,4MB,POPT_GE_GRASP,-,,,1.5,5.6082,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,5.6082,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),soc-pokec,cc,8MB,SRRIP,~,,10.0,3.0,0.0019,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,cc,8MB,POPT_GE_GRASP,-,,,1.5,0.0367,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0367,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-pokec,pr,1MB,SRRIP,~,,5.0,2.0,-4.5291,ok
Faldu et al. HPCA 2020 Fig 10,soc-pokec,pr,1MB,GRASP,-,2.0,20.0,2.0,-13.6267,ok
Balaji & Lucia HPCA 2021 Fig 9,soc-pokec,pr,1MB,POPT,-,2.0,25.0,2.0,-13.2793,ok
Balaji & Lucia HPCA 2021 §6.3,soc-pokec,pr,1MB,POPT_GE_GRASP,-,,,1.0,0.3474,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.3474,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-pokec,pr,4MB,SRRIP,~,,5.0,2.0,-3.5445,ok
Balaji & Lucia HPCA 2021 §6.3,soc-pokec,pr,4MB,POPT_GE_GRASP,-,,,1.0,-0.6519,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.6519,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,soc-pokec,pr,8MB,SRRIP,~,,5.0,2.0,-1.2185,ok
Faldu et al. HPCA 2020 Fig 10,soc-pokec,pr,8MB,GRASP,~,,5.0,2.0,-2.1157,ok
Balaji & Lucia HPCA 2021 §6.3,soc-pokec,pr,8MB,POPT_GE_GRASP,-,,,1.0,0.8187,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.8187,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,1MB,SRRIP,~,,5.0,3.0,-3.1462,ok
Balaji & Lucia HPCA 2021 Fig 10,soc-pokec,sssp,1MB,POPT,-,1.0,20.0,2.0,-7.0138,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,1MB,POPT_GE_GRASP,-,,,1.5,3.8096,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.8096,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,4MB,SRRIP,~,,5.0,3.0,-1.2883,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,4MB,POPT_GE_GRASP,-,,,1.5,0.8837,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.8837,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,8MB,SRRIP,~,,5.0,3.0,-0.0007,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),soc-pokec,sssp,8MB,POPT_GE_GRASP,-,,,1.5,-0.0003,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,soc-pokec,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0003,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bc,1MB,SRRIP,~,,5.0,3.0,-1.1626,ok
Faldu et al. HPCA 2020 Fig 11,web-Google,bc,1MB,GRASP,~,,5.0,3.0,0.8666,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bc,1MB,POPT_GE_GRASP,-,,,1.5,-0.4881,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.4881,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bc,4MB,SRRIP,~,,5.0,3.0,-1.3346,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bc,4MB,POPT_GE_GRASP,-,,,1.5,2.6456,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.6456,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bc,8MB,SRRIP,~,,5.0,3.0,-0.5895,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bc,8MB,POPT_GE_GRASP,-,,,1.5,2.6397,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.6397,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bfs,1MB,SRRIP,~,,5.0,3.0,-0.0552,ok
Faldu et al. HPCA 2020 Fig 11,web-Google,bfs,1MB,GRASP,~,,8.0,4.0,-3.4181,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bfs,1MB,POPT_GE_GRASP,-,,,1.5,1.0462,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.0462,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bfs,4MB,SRRIP,~,,5.0,3.0,-0.233,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bfs,4MB,POPT_GE_GRASP,-,,,1.5,-0.1876,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.1876,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),web-Google,bfs,8MB,SRRIP,~,,5.0,3.0,-0.7768,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,bfs,8MB,POPT_GE_GRASP,-,,,1.5,-2.5079,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.5079,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),web-Google,cc,1MB,SRRIP,~,,10.0,3.0,-3.8587,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,cc,1MB,POPT_GE_GRASP,-,,,1.5,1.2675,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.2675,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),web-Google,cc,4MB,SRRIP,~,,10.0,3.0,-0.0003,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,cc,4MB,POPT_GE_GRASP,-,,,1.5,0.0035,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0035,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),web-Google,cc,8MB,SRRIP,~,,10.0,3.0,0.0017,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,cc,8MB,POPT_GE_GRASP,-,,,1.5,-0.0008,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0008,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,web-Google,pr,1MB,SRRIP,~,,5.0,2.0,-5.6679,ok
Faldu et al. HPCA 2020 Fig 10,web-Google,pr,1MB,GRASP,-,1.0,15.0,2.0,-14.7704,ok
Balaji & Lucia HPCA 2021 Fig 9,web-Google,pr,1MB,POPT,-,1.0,20.0,2.0,-18.4003,ok
Balaji & Lucia HPCA 2021 §6.3,web-Google,pr,1MB,POPT_GE_GRASP,-,,,1.0,-3.6299,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.6299,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,web-Google,pr,4MB,SRRIP,~,,5.0,2.0,-2.2436,ok
Balaji & Lucia HPCA 2021 §6.3,web-Google,pr,4MB,POPT_GE_GRASP,-,,,1.0,1.0627,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.0627,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,web-Google,pr,8MB,SRRIP,~,,5.0,2.0,-0.3686,ok
Faldu et al. HPCA 2020 Fig 10,web-Google,pr,8MB,GRASP,~,,3.0,1.0,-1.2565,ok
Balaji & Lucia HPCA 2021 §6.3,web-Google,pr,8MB,POPT_GE_GRASP,-,,,1.0,-0.0356,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0356,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,1MB,SRRIP,~,,5.0,3.0,-0.5021,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,1MB,POPT_GE_GRASP,-,,,1.5,-0.858,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.858,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,4MB,SRRIP,~,,5.0,3.0,0.0019,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,4MB,POPT_GE_GRASP,-,,,1.5,0.0001,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0001,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,8MB,SRRIP,~,,5.0,3.0,-0.0034,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),web-Google,sssp,8MB,POPT_GE_GRASP,-,,,1.5,0.0,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,web-Google,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0,ok
