citation,graph,app,l3_size,policy,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,delta_pct,status
Balaji & Lucia HPCA 2021 §6.3,cit-Patents,pr,8MB,POPT_GE_GRASP,-,,,1.0,-3.111,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,cit-Patents,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.111,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,1MB,SRRIP,~,,5.0,3.0,-0.4224,ok
Balaji & Lucia HPCA 2021 Fig 10 (GRASP bar),cit-Patents,sssp,1MB,GRASP,-,0.5,15.0,3.0,-3.0624,ok
Balaji & Lucia HPCA 2021 Fig 10,cit-Patents,sssp,1MB,POPT,-,1.0,25.0,2.0,-2.7818,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,1MB,POPT_GE_GRASP,-,,,1.5,0.2806,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,cit-Patents,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2806,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,4MB,SRRIP,~,,5.0,3.0,-2.4063,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,4MB,POPT_GE_GRASP,-,,,1.5,1.4111,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,cit-Patents,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.4111,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,8MB,SRRIP,~,,5.0,3.0,-2.3015,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),cit-Patents,sssp,8MB,POPT_GE_GRASP,-,,,1.5,1.4368,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,cit-Patents,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.4368,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bc,1MB,SRRIP,~,,5.0,3.0,-2.5406,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bc,1MB,POPT_GE_GRASP,-,,,1.5,2.4747,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.4747,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bc,4MB,SRRIP,~,,5.0,3.0,-3.241,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bc,4MB,POPT_GE_GRASP,-,,,1.5,4.6678,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,4.6678,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bc,8MB,SRRIP,~,,5.0,3.0,-2.899,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bc,8MB,POPT_GE_GRASP,-,,,1.5,4.727,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,4.727,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bfs,1MB,SRRIP,~,,5.0,3.0,0.0337,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bfs,1MB,POPT_GE_GRASP,-,,,1.5,0.2895,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2895,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bfs,4MB,SRRIP,~,,5.0,3.0,0.0654,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bfs,4MB,POPT_GE_GRASP,-,,,1.5,-0.3953,ok
