kind,name,extra
total,n_files,350
total,n_stems,139
total,n_json,138
total,n_md,135
total,n_csv,77
total,n_subdirs,1
total,n_catalog,134
total,n_catalog_stems,134
md_optional_stem,ecg_gem5_parity_postfix,
md_optional_stem,ecg_pfx_vs_droplet_postfix,
md_optional_stem,ecg_sniper_parity_postfix,
md_optional_stem,ecg_substrate_parity_postfix,
json_optional_stem,literature_reproduction_summary,
subdir,paper_pipeline_20260528,
