graph,app,l3_size,policy,status,delta_pct,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,margin_pp,claim_kind,citation
cit-Patents,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.4111,~,,5.0,2.0,5.5889,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,sssp,8MB,SRRIP,ok,-2.3015,~,,5.0,3.0,5.7,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,8MB,POPT_GE_GRASP,ok,1.4368,-,,,1.5,0.0632,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.4368,~,,5.0,2.0,5.5632,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bc,1MB,SRRIP,ok,-2.5406,~,,5.0,3.0,5.46,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bc,1MB,POPT_GE_GRASP,known_deviation,2.4747,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,2.4747,~,,5.0,2.0,4.5253,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bc,4MB,SRRIP,ok,-3.241,~,,5.0,3.0,4.76,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bc,4MB,POPT_GE_GRASP,known_deviation,4.6678,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,4.6678,~,,5.0,2.0,2.3322,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bc,8MB,SRRIP,ok,-2.899,~,,5.0,3.0,5.105,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bc,8MB,POPT_GE_GRASP,known_deviation,4.727,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,4.727,~,,5.0,2.0,2.273,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bfs,1MB,SRRIP,ok,0.0337,~,,5.0,3.0,7.97,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,1MB,POPT_GE_GRASP,ok,0.2895,-,,,1.5,1.2105,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.2895,~,,5.0,2.0,6.7105,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bfs,4MB,SRRIP,ok,0.0654,~,,5.0,3.0,7.935,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,4MB,POPT_GE_GRASP,ok,-0.3953,-,,,1.5,1.8953,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.3953,~,,5.0,2.0,7.3953,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,bfs,8MB,SRRIP,ok,0.027,~,,5.0,3.0,7.975,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,8MB,POPT_GE_GRASP,ok,-0.7285,-,,,1.5,2.2285,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.7285,~,,5.0,2.0,7.7285,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
