graph,app,l3_size,family,regime,policy,miss_rate,oracle,gap_pp,is_winner,n_policies_in_cell
soc-LiveJournal1,pr,8MB,social,large,LRU,0.299897,0.189314,11.058,0,4
soc-LiveJournal1,pr,8MB,social,large,POPT,0.189314,0.189314,0.000,1,4
soc-LiveJournal1,pr,8MB,social,large,SRRIP,0.259415,0.189314,7.010,0,4
soc-LiveJournal1,sssp,1MB,social,large,GRASP,0.682024,0.670688,1.134,0,4
soc-LiveJournal1,sssp,1MB,social,large,LRU,0.743896,0.670688,7.321,0,4
soc-LiveJournal1,sssp,1MB,social,large,POPT,0.670688,0.670688,0.000,1,4
soc-LiveJournal1,sssp,1MB,social,large,SRRIP,0.717670,0.670688,4.698,0,4
soc-LiveJournal1,sssp,4MB,social,large,GRASP,0.318344,0.318344,0.000,1,4
soc-LiveJournal1,sssp,4MB,social,large,LRU,0.383581,0.318344,6.524,0,4
soc-LiveJournal1,sssp,4MB,social,large,POPT,0.319220,0.318344,0.088,0,4
soc-LiveJournal1,sssp,4MB,social,large,SRRIP,0.353797,0.318344,3.545,0,4
soc-LiveJournal1,sssp,8MB,social,large,GRASP,0.139874,0.135403,0.447,0,4
soc-LiveJournal1,sssp,8MB,social,large,LRU,0.169630,0.135403,3.423,0,4
soc-LiveJournal1,sssp,8MB,social,large,POPT,0.135403,0.135403,0.000,1,4
soc-LiveJournal1,sssp,8MB,social,large,SRRIP,0.151842,0.135403,1.644,0,4
soc-pokec,bc,1MB,social,large,GRASP,0.810808,0.809683,0.112,0,4
soc-pokec,bc,1MB,social,large,LRU,0.859729,0.809683,5.005,0,4
soc-pokec,bc,1MB,social,large,POPT,0.809683,0.809683,0.000,1,4
soc-pokec,bc,1MB,social,large,SRRIP,0.844165,0.809683,3.448,0,4
soc-pokec,bc,4MB,social,large,GRASP,0.457949,0.457949,0.000,1,4
soc-pokec,bc,4MB,social,large,LRU,0.530069,0.457949,7.212,0,4
soc-pokec,bc,4MB,social,large,POPT,0.459569,0.457949,0.162,0,4
soc-pokec,bc,4MB,social,large,SRRIP,0.496445,0.457949,3.850,0,4
soc-pokec,bc,8MB,social,large,GRASP,0.222744,0.217668,0.508,0,4
soc-pokec,bc,8MB,social,large,LRU,0.267741,0.217668,5.007,0,4
soc-pokec,bc,8MB,social,large,POPT,0.217668,0.217668,0.000,1,4
soc-pokec,bc,8MB,social,large,SRRIP,0.241220,0.217668,2.355,0,4
soc-pokec,bfs,1MB,social,large,GRASP,0.859369,0.859369,0.000,1,4
soc-pokec,bfs,1MB,social,large,LRU,0.906293,0.859369,4.692,0,4
soc-pokec,bfs,1MB,social,large,POPT,0.872956,0.859369,1.359,0,4
soc-pokec,bfs,1MB,social,large,SRRIP,0.892223,0.859369,3.285,0,4
soc-pokec,bfs,4MB,social,large,GRASP,0.755891,0.708089,4.780,0,4
soc-pokec,bfs,4MB,social,large,LRU,0.787277,0.708089,7.919,0,4
soc-pokec,bfs,4MB,social,large,POPT,0.708089,0.708089,0.000,1,4
soc-pokec,bfs,4MB,social,large,SRRIP,0.781166,0.708089,7.308,0,4
soc-pokec,bfs,8MB,social,large,GRASP,0.743854,0.625682,11.817,0,4
soc-pokec,bfs,8MB,social,large,LRU,0.759638,0.625682,13.396,0,4
soc-pokec,bfs,8MB,social,large,POPT,0.625682,0.625682,0.000,1,4
soc-pokec,bfs,8MB,social,large,SRRIP,0.753612,0.625682,12.793,0,4
soc-pokec,cc,1MB,social,large,GRASP,0.604195,0.604195,0.000,1,4
soc-pokec,cc,1MB,social,large,LRU,0.728107,0.604195,12.391,0,4
soc-pokec,cc,1MB,social,large,POPT,0.641433,0.604195,3.724,0,4
soc-pokec,cc,1MB,social,large,SRRIP,0.701253,0.604195,9.706,0,4
soc-pokec,cc,4MB,social,large,GRASP,0.250500,0.250500,0.000,1,4
soc-pokec,cc,4MB,social,large,LRU,0.463819,0.250500,21.332,0,4
soc-pokec,cc,4MB,social,large,POPT,0.311977,0.250500,6.148,0,4
soc-pokec,cc,4MB,social,large,SRRIP,0.379204,0.250500,12.870,0,4
soc-pokec,cc,8MB,social,large,GRASP,0.062926,0.062926,0.000,1,4
soc-pokec,cc,8MB,social,large,LRU,0.062926,0.062926,0.000,1,4
soc-pokec,cc,8MB,social,large,POPT,0.062926,0.062926,0.000,1,4
soc-pokec,cc,8MB,social,large,SRRIP,0.062926,0.062926,0.000,1,4
soc-pokec,pr,1MB,social,large,GRASP,0.555685,0.526600,2.909,0,4
soc-pokec,pr,1MB,social,large,LRU,0.696151,0.526600,16.955,0,4
soc-pokec,pr,1MB,social,large,POPT,0.526600,0.526600,0.000,1,4
soc-pokec,pr,1MB,social,large,SRRIP,0.651728,0.526600,12.513,0,4
soc-pokec,pr,4MB,social,large,GRASP,0.143667,0.124883,1.878,0,4
soc-pokec,pr,4MB,social,large,LRU,0.209387,0.124883,8.450,0,4
soc-pokec,pr,4MB,social,large,POPT,0.124883,0.124883,0.000,1,4
soc-pokec,pr,4MB,social,large,SRRIP,0.170262,0.124883,4.538,0,4
soc-pokec,pr,8MB,social,large,GRASP,0.091342,0.091342,0.000,1,4
soc-pokec,pr,8MB,social,large,LRU,0.107292,0.091342,1.595,0,4
soc-pokec,pr,8MB,social,large,POPT,0.093044,0.091342,0.170,0,4
soc-pokec,pr,8MB,social,large,SRRIP,0.094371,0.091342,0.303,0,4
soc-pokec,sssp,1MB,social,large,GRASP,0.558075,0.558075,0.000,1,4
soc-pokec,sssp,1MB,social,large,LRU,0.671944,0.558075,11.387,0,4
soc-pokec,sssp,1MB,social,large,POPT,0.582991,0.558075,2.492,0,4
soc-pokec,sssp,1MB,social,large,SRRIP,0.636608,0.558075,7.853,0,4
soc-pokec,sssp,4MB,social,large,GRASP,0.076550,0.076550,0.000,1,4
soc-pokec,sssp,4MB,social,large,LRU,0.099742,0.076550,2.319,0,4
soc-pokec,sssp,4MB,social,large,POPT,0.077731,0.076550,0.118,0,4
soc-pokec,sssp,4MB,social,large,SRRIP,0.086994,0.076550,1.044,0,4
soc-pokec,sssp,8MB,social,large,GRASP,0.007613,0.003288,0.432,0,4
soc-pokec,sssp,8MB,social,large,LRU,0.003288,0.003288,0.000,1,4
soc-pokec,sssp,8MB,social,large,POPT,0.003288,0.003288,0.000,1,4
soc-pokec,sssp,8MB,social,large,SRRIP,0.003288,0.003288,0.000,1,4
web-Google,bc,1MB,web,large,GRASP,0.823764,0.802694,2.107,0,4
web-Google,bc,1MB,web,large,LRU,0.802694,0.802694,0.000,1,4
web-Google,bc,1MB,web,large,POPT,0.821560,0.802694,1.887,0,4
web-Google,bc,1MB,web,large,SRRIP,0.806937,0.802694,0.424,0,4
web-Google,bc,4MB,web,large,GRASP,0.518605,0.498883,1.972,0,4
web-Google,bc,4MB,web,large,LRU,0.516173,0.498883,1.729,0,4
web-Google,bc,4MB,web,large,POPT,0.543463,0.498883,4.458,0,4
web-Google,bc,4MB,web,large,SRRIP,0.498883,0.498883,0.000,1,4
web-Google,bc,8MB,web,large,GRASP,0.263469,0.211406,5.206,0,4
web-Google,bc,8MB,web,large,LRU,0.221011,0.211406,0.961,0,4
web-Google,bc,8MB,web,large,POPT,0.289227,0.211406,7.782,0,4
web-Google,bc,8MB,web,large,SRRIP,0.211406,0.211406,0.000,1,4
web-Google,bfs,1MB,web,large,GRASP,0.944392,0.944392,0.000,1,4
web-Google,bfs,1MB,web,large,LRU,0.980402,0.944392,3.601,0,4
web-Google,bfs,1MB,web,large,POPT,0.955613,0.944392,1.122,0,4
web-Google,bfs,1MB,web,large,SRRIP,0.979611,0.944392,3.522,0,4
web-Google,bfs,4MB,web,large,GRASP,0.919123,0.764331,15.479,0,4
web-Google,bfs,4MB,web,large,LRU,0.948578,0.764331,18.425,0,4
web-Google,bfs,4MB,web,large,POPT,0.764331,0.764331,0.000,1,4
web-Google,bfs,4MB,web,large,SRRIP,0.947337,0.764331,18.301,0,4
web-Google,bfs,8MB,web,large,GRASP,0.912540,0.737762,17.478,0,4
web-Google,bfs,8MB,web,large,LRU,0.819363,0.737762,8.160,0,4
web-Google,bfs,8MB,web,large,POPT,0.737762,0.737762,0.000,1,4
web-Google,bfs,8MB,web,large,SRRIP,0.813627,0.737762,7.586,0,4
web-Google,cc,1MB,web,large,GRASP,0.539798,0.496614,4.318,0,4
web-Google,cc,1MB,web,large,LRU,0.585926,0.496614,8.931,0,4
web-Google,cc,1MB,web,large,POPT,0.496614,0.496614,0.000,1,4
web-Google,cc,1MB,web,large,SRRIP,0.556854,0.496614,6.024,0,4
web-Google,cc,4MB,web,large,GRASP,0.051919,0.051919,0.000,1,4
web-Google,cc,4MB,web,large,LRU,0.051919,0.051919,0.000,1,4
web-Google,cc,4MB,web,large,POPT,0.051919,0.051919,0.000,1,4
web-Google,cc,4MB,web,large,SRRIP,0.051919,0.051919,0.000,1,4
web-Google,cc,8MB,web,large,GRASP,0.051919,0.051919,0.000,1,4
web-Google,cc,8MB,web,large,LRU,0.051919,0.051919,0.000,1,4
web-Google,cc,8MB,web,large,POPT,0.051919,0.051919,0.000,1,4
web-Google,cc,8MB,web,large,SRRIP,0.051919,0.051919,0.000,1,4
web-Google,pr,1MB,web,large,GRASP,0.450908,0.384029,6.688,0,4
web-Google,pr,1MB,web,large,LRU,0.598361,0.384029,21.433,0,4
web-Google,pr,1MB,web,large,POPT,0.384029,0.384029,0.000,1,4
web-Google,pr,1MB,web,large,SRRIP,0.540871,0.384029,15.684,0,4
web-Google,pr,4MB,web,large,GRASP,0.129092,0.114921,1.417,0,4
web-Google,pr,4MB,web,large,LRU,0.142111,0.114921,2.719,0,4
web-Google,pr,4MB,web,large,POPT,0.114921,0.114921,0.000,1,4
web-Google,pr,4MB,web,large,SRRIP,0.119179,0.114921,0.426,0,4
web-Google,pr,8MB,web,large,GRASP,0.106849,0.084351,2.250,0,4
web-Google,pr,8MB,web,large,LRU,0.097157,0.084351,1.281,0,4
web-Google,pr,8MB,web,large,POPT,0.084351,0.084351,0.000,1,4
web-Google,pr,8MB,web,large,SRRIP,0.093367,0.084351,0.902,0,4
web-Google,sssp,1MB,web,large,GRASP,0.640313,0.640313,0.000,1,4
web-Google,sssp,1MB,web,large,LRU,0.663779,0.640313,2.347,0,4
web-Google,sssp,1MB,web,large,POPT,0.641996,0.640313,0.168,0,4
web-Google,sssp,1MB,web,large,SRRIP,0.656180,0.640313,1.587,0,4
web-Google,sssp,4MB,web,large,GRASP,0.081619,0.023478,5.814,0,4
web-Google,sssp,4MB,web,large,LRU,0.023478,0.023478,0.000,1,4
web-Google,sssp,4MB,web,large,POPT,0.023478,0.023478,0.000,1,4
web-Google,sssp,4MB,web,large,SRRIP,0.023478,0.023478,0.000,1,4
web-Google,sssp,8MB,web,large,GRASP,0.047541,0.023478,2.406,0,4
web-Google,sssp,8MB,web,large,LRU,0.023478,0.023478,0.000,1,4
web-Google,sssp,8MB,web,large,POPT,0.023478,0.023478,0.000,1,4
web-Google,sssp,8MB,web,large,SRRIP,0.023478,0.023478,0.000,1,4
